CORPORATE_IDENTIFICATION_NUMBER;COMPANY_NAME;COMPANY_STATUS;COMPANY_CLASS;COMPANY_CATEGORY;COMPANY_SUB_CATEGORY;DATE_OF_REGISTRATION;REGISTERED_STATE;AUTHORIZED_CAP;PAIDUP_CAPITAL;INDUSTRIAL_CLASS;PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN;REGISTERED_OFFICE_ADDRESS;REGISTRAR_OF_COMPANIES;EMAIL_ADDR;LATEST_YEAR_ANNUAL_RETURN;LATEST_YEAR_FINANCIAL_STATEMENT
L25200GJ1992PLC017678;AXEL POLYMERS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;21-5-1992;Gujarat;150000000.0;43000000.0;25200.0;Manufacturing;S NO 309, VIL-MOKSHI, SANKARDA-SAVLI ROADTAL-SAVLI,  ;ROCÂ AHMEDABAD;cs@axelindia.com;31-3-2019;31-3-2019
L25200GJ1992PLC107000;AMBITIOUS PLASTOMAC COMPANY LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;15-9-1992;Gujarat;60000000.0;58100000.0;25200.0;Manufacturing;405 Royal Square, Nr. JBR Arcade,Science City Road, Sola,  ;ROCÂ AHMEDABAD;ambitiousplasto@gmail.com;31-3-2019;31-3-2019
L25200GJ1993PLC019158;UNICK FIX-A-FORM AND PRINTERS LTD   ;ACTV;Public;Company limited by Shares;Non-govt company;18-3-1993;Gujarat;60000000.0;54850000.0;25200.0;Manufacturing;Block No. 472, Tajpur Road,Changodar, Tal. Sanand, Dist. Ahmedabad.  ;ROCÂ AHMEDABAD;info@unickfix-a-form.com;31-3-2019;31-3-2019
L25200GJ1993PLC019830;VINYOFLEX LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;14-7-1993;Gujarat;50000000.0;43190000.0;25200.0;Manufacturing;307 SILVER CHAMBER TAGOREROAD   ;ROCÂ AHMEDABAD;info@vinyoflex.com;31-3-2019;31-3-2019
L25200GJ1993PLC020880;SHREE RAMA MULTI-TECH LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;17-12-1993;Gujarat;1500000000.0;384006625.0;25200.0;Manufacturing;301, Corporate House,Opp. Torrent House, Income Tax  ;ROCÂ AHMEDABAD;cslegal@srmtl.com;31-3-2019;31-3-2019
L25200GJ1994PLC021666;SHREE GANESH ELASTOPLAST LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;28-3-1994;Gujarat;60000000.0;55020000.0;25200.0;Manufacturing;119, GR. FLOOR, KAMDHENU COMPLEX,OPP: SAHJANAND COLLEGE, POLYTECHNIC  ;ROCÂ AHMEDABAD;ganeshelastoplast@gmail.com;31-3-2019;31-3-2019
L25200GJ1996PLC028679;AHIMSA INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;24-1-1996;Gujarat;75000000.0;54739900.0;25200.0;Manufacturing;160, Devraj Industrial Park,Piplaj-Pirana Road, Village Piplaj  ;ROCÂ AHMEDABAD;accounts@ahimsaind.com;31-3-2019;31-3-2019
L25200GJ1996PLC029134;ASTRAL POLY TECHNIK LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;25-3-1996;Gujarat;210500000.0;150662206.0;25200.0;Manufacturing;"""ASTRAL HOUSE"", 207/1, B/H RAJPATH CLUB,OFF S.G.HIGHWAY  ";ROCÂ AHMEDABAD;co@astralpipes.com;31-3-2019;31-3-2019
L25202GJ2010PLC059931;AMBITION MICA LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;19-3-2010;Gujarat;160000000.0;149220000.0;25202.0;Manufacturing;615-619, 6TH FLOOR, SHIVAM ARCADE,NR. SATVA-1, HANSPURA, NARODA DEHGAM ROAD, NARODA  ;ROCÂ AHMEDABAD;ambitionmica@gmail.com;31-3-2019;31-3-2018
L25202GJ2011PLC065632;A AND M JUMBO BAGS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;27-5-2011;Gujarat;160000000.0;103323000.0;25202.0;Manufacturing;BLOCK NO.-100, BHAGWATI RICE MILL,OPP. HP PETROL PUMP, JETALPUR, DASKROI  ;ROCÂ AHMEDABAD;cs@aandmjumbobags.com;31-3-2019;31-3-2019
L25206GJ2008PLC053761;BANSAL ROOFING PRODUCTS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;1-5-2008;Gujarat;100000000.0;32958000.0;25206.0;Manufacturing;3/2, LABDHI INDUSTRIAL ESTATE, ACID MILL COMPOUND,RANMUKTESHWAR ROAD, PRATAPNAGAR,  ;ROCÂ AHMEDABAD;sales@roofsanddoors.com;31-3-2019;31-3-2019
L25209GJ1981PLC004786;DUTRON POLYMERS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;17-11-1981;Gujarat;60000000.0;60000000.0;25209.0;Manufacturing;DUTRON HOUSENR MITHAKHALI UNDERBRIDGENAVRANGPURA  ;ROCÂ AHMEDABAD;roc@krutesh.ca;31-3-2019;31-3-2019
L25209GJ1984PLC007252;NEELNANDAN POLYMERS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;14-9-1984;Gujarat;80000000.0;67859000.0;25209.0;Manufacturing;2ND FLOOR, ASARPOTA CHAMBERS, OPP. MIRCH MASALARESTAURANT, C. G. ROAD, NAVRANGPURA  ;ROCÂ AHMEDABAD;rotoflexind@gmail.com;31-3-2014;31-3-2014
L25209GJ1986PLC009021;TIRTH PLASTIC LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;29-9-1986;Gujarat;60000000.0;44506800.0;25209.0;Manufacturing;A -304, INFINITY TOWERNEAR RAMADA HOTEL CORPORATE ROAD , PRAHLADNAGAR  ;ROCÂ AHMEDABAD;tirthplastic@gmail.com;31-3-2019;31-3-2019
L25209GJ1988PLC010846;KCCL PLASTIC LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;14-6-1988;Gujarat;110000000.0;105335000.0;25209.0;Manufacturing;A/6, NASIB APARTMENTS, AMBAWADI (ELISBRIDGE),B/h, APOLLO HOSPITAL, NEAR PARIMAL UNDER BRIDGE,  ;ROCÂ AHMEDABAD;investor.relations@kcclplastic.com;31-3-2018;31-3-2018
L25209GJ1992PLC017791;NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LIMITED  ;ACTV;Public;Company limited by Shares;Non-govt company;9-6-1992;Gujarat;50000000.0;36230000.0;25209.0;Manufacturing;PLOT NO.119-120,SANTEJ VADSAR ROAD NEAR ALEX CABLEAT.SANTEJ TL.KALOL  ;ROCÂ AHMEDABAD;narmadadrip@gmail.com;31-3-2019;31-3-2019
L25209GJ1992PLC018254;NAVAL TECHNOPLAST INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;7-9-1992;Gujarat;60000000.0;40869000.0;25209.0;Manufacturing;Plot No. 4, Road No. 1Kathwada GIDC  ;ROCÂ AHMEDABAD;jsrnti@gmail.com;31-3-2017;31-3-2017
L25209GJ1993PLC019532;RUSHIL DECOR LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;24-5-1993;Gujarat;200000000.0;149313320.0;25209.0;Manufacturing;S. NO. 125, NEAR KALYANPURA PATIA, VILLAGE ITLA,GANDHINAGAR MANSA ROAD, TAL. KALOL,  ;ROCÂ AHMEDABAD;cs@virlaminate.com;31-3-2019;31-3-2019
L25209GJ1997PLC031985;CAPTAIN POLYPLAST LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;27-3-1997;Gujarat;110000000.0;100757580.0;25209.0;Manufacturing;UL25 ROYAL COMPLEX BHUTKHANACHOWK DHEBAR ROAD   ;ROCÂ AHMEDABAD;md@captainpolyplast.in;31-3-2019;31-3-2019
L25209GJ2005PLC046757;DEEP POLYMERS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;13-9-2005;Gujarat;120500000.0;118716000.0;25209.0;Manufacturing;BLOCK NO 727B/H BHAVI INDUSTRIESRAKANPUR (SANTEJ)  ;ROCÂ AHMEDABAD;cs.deeppolymers@gmail.com;31-3-2019;31-3-2019
L25209GJ2017PLC097273;SHISH INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;11-5-2017;Gujarat;45000000.0;44422330.0;25209.0;Manufacturing;Survey No: 265/ 266, Block No: 290, Plot No.18 to 23, B/1 Paiki 1, Pipodara, Ta: Mangrol  ;ROCÂ AHMEDABAD;compliance@shishindustries.com;31-3-2019;31-3-2019
L26100GJ1907PLC000033;ALEMBIC LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;30-7-1907;Gujarat;600000000.0;513563656.0;26100.0;Manufacturing;ALEMBIC ROAD   ;ROCÂ AHMEDABAD;drigesh.mittal@alembic.co.in;31-3-2019;31-3-2019
L26100GJ1991PLC016173;HLE GLASCOAT LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;26-8-1991;Gujarat;206000000.0;148062280.0;26100.0;Manufacturing;H-106 GIDC ESTATE,VITHAL UDYOGNAGAR  ;ROCÂ AHMEDABAD;share@glascoat.com;31-3-2019;31-3-2019
L26100GJ1992PLC017070;PUR OPALE CREATIONS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;7-2-1992;Gujarat;120000000.0;117958500.0;26100.0;Manufacturing;103, PRATAP TOWER, LAL BAUG - MANJALPUR ROADNEAR BHAWAN'S CIRCLE,BEHIND ANGAN TOWER,  ;ROCÂ AHMEDABAD;poclpadara@yahoo.co.in;31-3-2019;31-3-2019
L26910GJ1998PLC034400;CERA SANITARYWARE LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;17-7-1998;Gujarat;100000000.0;65029370.0;26910.0;Manufacturing;9,GIDC INDUSTRIAL ESTATEKADI  ;ROCÂ AHMEDABAD;hemal.sadiwala@cera-india.com;31-3-2019;31-3-2019
L26914GJ2000PLC037494;DECOLIGHT CERAMICS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;7-3-2000;Gujarat;1000000000.0;483354440.0;26914.0;Manufacturing;B/H ROMER CERAMICOLD GHUNTU ROAD  ;ROCÂ AHMEDABAD;decolight2012@yahoo.com;31-3-2015;31-3-2015
L26914GJ2008PLC053838;LEXUS GRANITO (INDIA) LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;8-5-2008;Gujarat;220000000.0;191907240.0;26914.0;Manufacturing;SURVEY NO. 800, OPP. LAKHDHIRPUR VILLAGELAKHDHIRPUR ROAD, N. H. 8A, TAL. MORBI  ;ROCÂ AHMEDABAD;info@lexustile.com;31-3-2019;31-3-2019
L26921GJ1985PLC008196;BELL CERAMICS LIMITED   ;AMAL;Public;Company limited by Shares;Non-govt company;18-10-1985;Gujarat;400000000.0;121738070.0;26921.0;Manufacturing;DORA VILLAGETAL-AMOD   ;ROCÂ AHMEDABAD;secretarialbaroda@bellceramic.com;31-12-2010;31-12-2010
L26930GJ1992PLC016916;DIAMOND REGINE CERAMICS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;8-1-1992;Gujarat;50000000.0;40000000.0;26930.0;Manufacturing;SURVEY NO 212 IRANA ROAD  VILBUDASANKADI  ;ROCÂ AHMEDABAD;admin@ddsonline.in;31-3-2010;31-3-2010
L26931GJ1986PLC102350;RESTILE CERAMICS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;26-5-1986;Gujarat;1000000000.0;982792000.0;26931.0;Manufacturing;204, SAKAR COMPLEX, OPP ABS TOWER,VACCINE CROSSING, OLD PADRA ROAD,  ;ROCÂ AHMEDABAD;restile@accountscare.com;31-3-2019;31-3-2019
L26940GJ1944PLC000749;SHREE DIGVIJAY CEMENT CO LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;6-11-1944;Gujarat;2500000000.0;1413742780.0;26940.0;Manufacturing;POST-DIGVIJAY GRAM,VIA-JAMNAGAR, DIGVIJAY GRAM  ;ROCÂ AHMEDABAD;rajendra.maheshwari@vcimentos.com;31-3-2019;31-3-2019
L26940GJ1973PLC002245;GUJARAT SIDHEE CEMENT LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;29-3-1973;Gujarat;5000000000.0;874113230.0;26940.0;Manufacturing;At Sidheegram, PO Prashnawada BOVia Sutrapada SO Taluka, Dist Gir Somnath  ;ROCÂ AHMEDABAD;sidhee-mum@mehtagroup.com;31-3-2019;31-3-2019
L26940GJ1983PLC006400;SOMANI CEMENT COMPANY LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;8-8-1983;Gujarat;100000000.0;71689000.0;26940.0;Manufacturing;VILLAGE-KHARSALIA, OPP. RAILWAY STATION,TAL-GODHRA  ;ROCÂ AHMEDABAD;madhavvidarbh@hotmail.com;;31-3-2006
L26941GJ1956PLC000840;SAURASHTRA CEMENT LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;11-6-1956;Gujarat;2290000000.0;694802880.0;26941.0;Manufacturing;NR RAILWAY STATIONRANAVAV   ;ROCÂ AHMEDABAD;scl-mum@mehtagroup.com;31-3-2019;31-3-2019
L26941GJ1991PLC016686;MODERN CEMENT INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;27-9-1991;Gujarat;50000000.0;49824000.0;26941.0;Manufacturing;VILLAGE POPATPURA TALGODHRA   ;ROCÂ AHMEDABAD;arti_812002@yahoo.co.in;31-3-2012;31-3-2012
L26941GJ1994PLC022389;SARDAR CEMENT INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;30-6-1994;Gujarat;60000000.0;56487000.0;26941.0;Manufacturing;309,AJANTA COMMERCIAL COMPLEX,GONDAL ROAD,   ;ROCÂ AHMEDABAD;rachhkalpesh@gmail.com;;
L26942GJ1981PLC004717;AMBUJA CEMENTS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;20-10-1981;Gujarat;81500000000.0;3971290458.0;26942.0;Manufacturing;P O AMBUJA NAGAR,TALUKA KODINAR, AMRELI,  ;ROCÂ AHMEDABAD;shares@ambujacement.com;31-12-2018;31-12-2018
L26956GJ1993PLC019443;GUJARAT PIPES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;12-5-1993;Gujarat;77500000.0;75297000.0;26956.0;Manufacturing;BLOCK NO 31, KHATRAJKALOL  ;ROCÂ AHMEDABAD;gujaratpipes@yahoo.com;31-3-2014;31-3-2014
L26959GJ2009PLC058011;SAMRUDDHI CEMENT LIMITED   ;AMAL;Public;Company limited by Shares;Non-govt company;4-9-2009;Gujarat;1350000000.0;1308417855.0;26959.0;Manufacturing;BIRLADHAMKHARACH  ;ROCÂ AHMEDABAD;anil.ladha@adityabirla.com;31-3-2010;31-3-2010
L27100GJ1975PLC002692;INVESTMENT & PRECISION CASTINGS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;3-4-1975;Gujarat;105000000.0;50000000.0;27100.0;Manufacturing;NARI ROAD   ;ROCÂ AHMEDABAD;direct1@ipcl.in;31-3-2019;31-3-2019
L27100GJ1977PLC002619;VISHAL MALLEABLES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;14-9-1977;Gujarat;75000000.0;26965000.0;27100.0;Manufacturing;85/2 GIDC INDUSTRIAL AREAANKLESHWAR  ;ROCÂ AHMEDABAD;info@vishalmalleables.com;31-3-2015;31-3-2015
L27100GJ1980PLC020358;WELSPUN SPECIALTY SOLUTIONS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;29-12-1980;Gujarat;5650000000.0;3896094850.0;27100.0;Manufacturing;PLOT NO 1 G I D C INDUSTRIALESTATE VALIA ROADJHAGADIA DIST  ;ROCÂ AHMEDABAD;rashmi_mamtura@welspun.com;31-3-2019;31-3-2019
L27100GJ1981PLC004718;BHAGWATI AUTOCAST LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;20-10-1981;Gujarat;30000000.0;28806840.0;27100.0;Manufacturing;SURVEY NO. 816, VILLAGE RAJODA,NR. BAVLA  ;ROCÂ AHMEDABAD;cs@bhagwati.com;31-3-2019;31-3-2019
L27100GJ1984PLC007185;MARDIA STEEL LTD.   ;ACTV;Public;Company limited by Shares;Non-govt company;21-8-1984;Gujarat;2450000.0;2450000.0;27100.0;Manufacturing;84/3 PHASE - I,G.I.D.C. VATVA  ;ROCÂ AHMEDABAD;rajeev_005s@rediffmail.com;;
L27100GJ1985PLC008286;CREATIVE CASTINGS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;22-11-1985;Gujarat;30000000.0;13000000.0;27100.0;Manufacturing;102 G I D C PHASE-II RAJKOTROAD DOLATPARA   ;ROCÂ AHMEDABAD;info@creative-cast.com;31-3-2019;31-3-2019
L27100GJ1986PLC009212;RAJOO ENGINEERS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;8-12-1986;Gujarat;77000000.0;61530750.0;27100.0;Manufacturing;JUNAGADH ROAD HIGHWAYMANAVADAR   ;ROCÂ AHMEDABAD;compliances@rajoo.com;31-3-2019;31-3-2019
L27100GJ1988PLC011445;GHANSHYAM STEEL WORKS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;27-10-1988;Gujarat;150000000.0;92800000.0;27100.0;Manufacturing;Plot No. 350, GIDC Waghodia,   ;ROCÂ AHMEDABAD;smpatel48@yahoo.co.in;31-3-2014;31-3-2014
L27100GJ1989PLC012843;UTL INDUSTRIES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;5-10-1989;Gujarat;35000000.0;32955000.0;27100.0;Manufacturing;607  WORLD TRADE CENTRESAYAJIGUNJ   ;ROCÂ AHMEDABAD;utlindustries@gmail.com;31-3-2019;31-3-2019
L27100GJ1990PLC013920;SWETAMBER STEEL LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;20-11-1990;Gujarat;50000000.0;40250000.0;27100.0;Manufacturing;VILLAGE MALAR ROADGREEN PARK KALOLDIST PANCHMAHAL  ;ROCÂ AHMEDABAD;swetambersteel@gmail.com;31-3-2016;31-3-2016
L27100GJ1990PLC014129;MAXIMAA SYSTEMS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;3-8-1990;Gujarat;202000000.0;116002510.0;27100.0;Manufacturing;B-1, YASHKAMAL,TITHAL ROAD,  ;ROCÂ AHMEDABAD;cs@maximaasystems.com;31-3-2019;31-3-2018
L27100GJ1990PLC014383;REAL STRIPS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;19-9-1990;Gujarat;125000000.0;59800000.0;27100.0;Manufacturing;Survey No: 245-246, Village Sari,Ahmedabad-Bavla Highway, Taluka Sanand,  ;ROCÂ AHMEDABAD;info@realstrips.com;31-3-2019;31-3-2019
L27100GJ1990PLC014698;SHAH ALLOYS LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;23-11-1990;Gujarat;350000000.0;197975400.0;27100.0;Manufacturing;5/1 SHREE HOUSE 5TH FLOOR M JLIBRRRYASHRAM ROAD  ;ROCÂ AHMEDABAD;cs@shahalloys.com;31-3-2019;31-3-2019
L27100GJ1991PLC016158;GUJARAT NATURAL RESOURCES LIMITED   ;ACTV;Public;Company limited by Shares;Non-govt company;23-8-1991;Gujarat;650000000.0;562516450.0;27100.0;Manufacturing;3rd Floor, A Wing, Gopal Palace, Opp. Ocean Park,Nr. Nehru Nagar, Satellite Road,  ;ROCÂ AHMEDABAD;info@gnrl.in;31-3-2019;31-3-2019
